文物名称,展厅,时期,参观顺序,是否镇馆之宝,文物种类,所属领域,人员类别,,,,,,,,,
击鼓说唱俑,秦汉时期,秦汉时期,215,t,陶器,"[""雕像"", ""乐器""]",0,,,,,,,,,
熹平石经残石,秦汉时期,秦汉时期,216,f,石器石刻,"[""书法""]",0,,,,,,,,,
狩猎纹骨饰,秦汉时期,秦汉时期,217,f,其他,"[""饰品"", ""狩猎"", ""纹饰""]",0,,,,,,,,,
汉匈奴归义亲汉长青铜印,秦汉时期,秦汉时期,218,f,铜器,"[""牌章证件""]",0,,,,,,,,,
滇王之印金印,秦汉时期,秦汉时期,219,f,金银器,"[""牌章证件""]",0,,,,,,,,,
吊人青铜矛,秦汉时期,秦汉时期,220,f,铜器,"[""武器""]",1,,,,,,,,,
七牛虎耳青铜贮贝器,秦汉时期,秦汉时期,221,f,铜器,"[""礼制"", ""雕像""]",0,,,,,,,,,
诅盟场面青铜贮贝器,秦汉时期,秦汉时期,222,f,铜器,"[""礼制"", ""雕像""]",1,,,,,,,,,
贡纳场面青铜贮贝器,秦汉时期,秦汉时期,223,f,铜器,"[""礼制"", ""雕像""]",0,,,,,,,,,
五牛青铜枕,秦汉时期,秦汉时期,224,f,铜器,"[""其他""]",0,,,,,,,,,
鎏金四人舞俑青铜扣饰,秦汉时期,秦汉时期,225,f,铜器,"[""雕像"", ""饰品"", ""纹饰""]",0,,,,,,,,,
鎏金神兽青铜牌饰,秦汉时期,秦汉时期,226,f,铜器,"[""饰品"", ""雕像""]",0,,,,,,,,,
四联陶罐,秦汉时期,秦汉时期,227,f,陶器,"[""饮食"", ""雕像""]",0,,,,,,,,,
五铢钱纹青铜鼓,秦汉时期,秦汉时期,228,f,铜器,"[""乐器"", ""纹饰""]",0,,,,,,,,,
汉归义羌长青铜印,秦汉时期,秦汉时期,229,f,铜器,"[""牌章证件""]",0,,,,,,,,,
玻璃杯,秦汉时期,秦汉时期,230,f,其他,"[""饮食"", ""陈设品""]",0,,,,,,,,,
羊首铜刀,秦汉时期,秦汉时期,231,f,铜器,"[""武器""]",0,,,,,,,,,
陶船,秦汉时期,秦汉时期,232,f,陶器,"[""雕像""]",0,,,,,,,,,
青瓷羊形烛台_1,三国两晋南北朝时期,三国两晋南北朝时期,233,f,瓷器,"[""陈设品"", ""雕像""]",0,,,,,,,,,
陶武士俑,三国两晋南北朝时期,三国两晋南北朝时期,234,f,陶器,"[""雕像""]",0,,,,,,,,,
独孤信墓志,三国两晋南北朝时期,三国两晋南北朝时期,235,f,石器石刻,"[""书法""]",1,,,,,,,,,
《齐民要术》,三国两晋南北朝时期,三国两晋南北朝时期,236,f,书画古籍,"[""科技"", ""农耕"", ""书法""]",0,,,,,,,,,
青瓷羊形烛台_2,三国两晋南北朝时期,三国两晋南北朝时期,237,f,瓷器,"[""陈设品"", ""雕像""]",0,,,,,,,,,
青瓷熊灯,三国两晋南北朝时期,三国两晋南北朝时期,238,f,瓷器,"[""陈设品"", ""雕像""]",0,,,,,,,,,
青瓷香薰,三国两晋南北朝时期,三国两晋南北朝时期,239,f,瓷器,"[""陈设品""]",0,,,,,,,,,
