ts_code,symbol,name,trade_date,close,pct_chg,amount,amount_yuan,amount_yi,total_mv,total_mv_yuan,total_mv_yi,circ_mv,turnover_rate,turnover_rate_f,volume_ratio,pe,pb,ps,dv_ratio,market,industry,list_date
300551.SZ,300551,古鳌科技,20260318,17.68,-4.7927,376013.232,376013232.0,3.76013232,601231.0994,6012310993.999999,60.12310993999999,599480.8129,6.2368,7.6877,1.56,,13.7358,20.1892,,创业板,软件服务,2016-10-18
002407.SZ,002407,多氟多,20260318,27.29,-4.7802,2155458.511,2155458511.0,21.55458511,3248690.4808,32486904808.0,324.86904808,2948823.2042,7.2741,7.7728,0.87,,3.9277,3.9585,0.7134,主板,化工原料,2010-05-18
002356.SZ,002356,赫美集团,20260318,4.05,-4.7059,523722.129,523722129.0,5.23722129,531058.081,5310580810.0,53.1058081,531055.0435,9.7307,12.2529,0.95,,8.5495,13.0617,,主板,其他商业,2010-02-09
600619.SH,600619,海立股份,20260318,17.88,-4.64,801905.954,801905954.0,8.01905954,1919139.7979,19191397979.0,191.91397979,1411044.5388,5.7178,8.7368,2.3,566.9785,3.1339,1.0237,0.0727,主板,家用电器,1992-11-16
000981.SZ,000981,山子高科,20260318,4.46,-4.4968,3371854.795,3371854795.0,33.71854795,4458872.016,44588720160.0,445.8872016,4242956.8175,8.0135,13.9162,1.49,,26.4879,8.9712,,主板,汽车配件,2000-06-22
002857.SZ,002857,三晖电气,20260318,24.74,-4.4788,372519.162,372519162.0,3.72519162,323188.516,3231885160.0,32.3188516,316672.0,11.6813,17.0919,1.13,178.5597,6.2036,4.7478,0.0592,主板,电器仪表,2017-03-23
300436.SZ,300436,广生堂,20260318,106.9,-4.4085,748436.915,748436915.0,7.48436915,1702564.23,17025642300.0,170.256423,1461557.8486,5.1295,8.1436,0.84,,44.4493,38.5669,,创业板,化学制药,2015-04-22
301226.SZ,301226,祥明智能,20260318,39.9,-4.4082,780222.838,780222838.0,7.80222838,434112.0,4341120000.0,43.4112,434112.0,17.6165,36.5154,2.07,148.1536,4.7622,8.5231,0.2506,创业板,电气设备,2022-03-25
600649.SH,600649,城投控股,20260318,4.78,-4.4,318954.461,318954461.0,3.18954461,1197151.3671,11971513671.0,119.71513671,1197151.3671,2.6391,5.6069,1.21,49.3238,0.5693,1.2692,0.8368,主板,区域地产,1993-05-18
002310.SZ,002310,东方新能,20260318,2.87,-4.3333,1270042.624,1270042624.0,12.70042624,1721805.4476,17218054476.0,172.18054476,1205127.2688,10.3379,16.2479,1.2,,11.2068,19.6353,,主板,环境保护,2009-11-27
688106.SH,688106,金宏气体,20260318,26.1,-4.2904,863574.609,863574609.0,8.63574609,1257961.9458,12579619458.000002,125.79619458000002,1257961.9458,6.8658,12.645,0.77,62.5152,4.2532,4.9815,0.3793,科创板,化工原料,2020-06-16
